ebird_code,date,duration,filename,species,number_of_notes,secondary_labels,latitude,sampling_rate,type,elevation,bitrate_of_mp3,background,country,primary_label,longitude,time
bkhgro,2013-06-13,6,XC146082.mp3,Black-headed Grosbeak,7-20,[],39.6294,48000 (Hz),song,1600 m,320000 (bps),,United States,Pheucticus melanocephalus_Black-headed Grosbeak,-120.2859,7:24
bkhgro,2011-06-06,38,XC157638.mp3,Black-headed Grosbeak,Not specified,[],48.485,44100 (Hz),song,60 m,128000 (bps),,Canada,Pheucticus melanocephalus_Black-headed Grosbeak,-123.362,05:00
bkhgro,2014-05-17,21,XC181417.mp3,Black-headed Grosbeak,Not specified,[],40.1009,48000 (Hz),song,160 m,320000 (bps),,United States,Pheucticus melanocephalus_Black-headed Grosbeak,-123.7957,06:45
bkhgro,2011-06-13,34,XC217942.mp3,Black-headed Grosbeak,Not specified,"[""Vireo bellii_Bell's Vireo""]",32.8321,48000 (Hz),song,80 m,128000 (bps),Bell's Vireo (Vireo bellii),United States,Pheucticus melanocephalus_Black-headed Grosbeak,-117.0493,09:11
bkhgro,2013-06-04,31,XC253520.mp3,Black-headed Grosbeak,7-20,['Leiothlypis celata_Orange-crowned Warbler'],45.4652,48000 (Hz),song,160 m,128000 (bps),Orange-crowned Warbler (Leiothlypis celata),United States,Pheucticus melanocephalus_Black-headed Grosbeak,-123.9709,10:14
bkhgro,2016-06-29,16,XC324996.mp3,Black-headed Grosbeak,Not specified,[],40.646,48000 (Hz),song,2500 m,128092 (bps),,United States,Pheucticus melanocephalus_Black-headed Grosbeak,-115.3812,07:00
bkhgro,2018-07-01,65,XC423357.mp3,Black-headed Grosbeak,4-6,[],19.295,44100 (Hz),song,2200 m,143160 (bps),,Mexico,Pheucticus melanocephalus_Black-headed Grosbeak,-99.095,10:00
bkpwar,2014-05-02,13,XC177087.mp3,Blackpoll Warbler,Not specified,[],35.8589,44100 (Hz),song,300 m,128000 (bps),,United States,Setophaga striata_Blackpoll Warbler,-84.0948,08:30
bkpwar,2014-06-20,141,XC190957.mp3,Blackpoll Warbler,>20,"[""Setophaga townsendi_Townsend's Warbler"", 'Leiothlypis peregrina_Tennessee Warbler']",55.3977,44100 (Hz),song,900 m,128000 (bps),Townsend's Warbler (Setophaga townsendi); Tennessee Warbler (Leiothlypis peregrina),Canada,Setophaga striata_Blackpoll Warbler,-122.6273,13:31
bkpwar,2015-06-07,58,XC251802.mp3,Blackpoll Warbler,Not specified,[],40.1899,44100 (Hz),song,40 m,128000 (bps),,United States,Setophaga striata_Blackpoll Warbler,-75.4054,06:46
bkpwar,2016-05-17,24,XC317084.mp3,Blackpoll Warbler,Not specified,"[""Catharus ustulatus_Swainson's Thrush"", 'Setophaga magnolia_Magnolia Warbler', 'Leiothlypis peregrina_Tennessee Warbler']",41.8605,44100 (Hz),song,240 m,320000 (bps),Swainson's Thrush (Catharus ustulatus); Magnolia Warbler (Setophaga magnolia); Tennessee Warbler (Leiothlypis peregrina),United States,Setophaga striata_Blackpoll Warbler,-88.1756,06:41
bkpwar,2016-05-21,101,XC317730.mp3,Blackpoll Warbler,Not specified,"['Vireo olivaceus_Red-eyed Vireo', 'Setophaga magnolia_Magnolia Warbler', 'Melanerpes carolinus_Red-bellied Woodpecker', 'Cardinalis cardinalis_Northern Cardinal', 'Polioptila caerulea_Blue-gray Gnatcatcher', 'Dryobates pubescens_Downy Woodpecker', 'Cyanocitta cristata_Blue Jay']",41.8605,44100 (Hz),song,240 m,320000 (bps),Red-eyed Vireo (Vireo olivaceus); Magnolia Warbler (Setophaga magnolia); Red-bellied Woodpecker (Melanerpes carolinus); Northern Cardinal (Cardinalis cardinalis); Blue-grey Gnatcatcher (Polioptila caerulea); Downy Woodpecker (Dryobates pubescens); Blue Jay (Cyanocitta cristata),United States,Setophaga striata_Blackpoll Warbler,-88.1756,07:06
bkpwar,2016-04-30,41,XC328188.mp3,Blackpoll Warbler,Not specified,"['Dumetella carolinensis_Gray Catbird', 'Turdus migratorius_American Robin', 'Polioptila caerulea_Blue-gray Gnatcatcher']",40.1091,44100 (Hz),song,20 m,256160 (bps),Grey Catbird (Dumetella carolinensis); American Robin (Turdus migratorius); Blue-grey Gnatcatcher (Polioptila caerulea),United States,Setophaga striata_Blackpoll Warbler,-75.3471,18:37
bkpwar,2016-06-05,42,XC328709.mp3,Blackpoll Warbler,7-20,['Geothlypis trichas_Common Yellowthroat'],43.4064,44100 (Hz),"male, song",10 m,154065 (bps),Common Yellowthroat (Geothlypis trichas),Canada,Setophaga striata_Blackpoll Warbler,-66.0198,08:15
bkpwar,2016-06-05,23,XC328802.mp3,Blackpoll Warbler,7-20,[],43.4064,44100 (Hz),"male, song",10 m,160865 (bps),,Canada,Setophaga striata_Blackpoll Warbler,-66.0198,11:12
bkpwar,2018-06-26,48,XC467710.mp3,Blackpoll Warbler,Not specified,[],48.8964,44100 (Hz),song,850 m,128000 (bps),,Canada,Setophaga striata_Blackpoll Warbler,-66.6321,07:52
bktspa,2006-07-20,11,XC11722.mp3,Black-throated Sparrow,7-20,[],28.8434,44100 (Hz),song,1400 m,96000 (bps),,Mexico,Amphispiza bilineata_Black-throated Sparrow,-106.4112,14:00
bktspa,2013-03-21,178,XC147288.mp3,Black-throated Sparrow,Not specified,[],33.2253,48000 (Hz),song,140 m,128000 (bps),,United States,Amphispiza bilineata_Black-throated Sparrow,-116.3085,07:38
bktspa,2015-04-23,7,XC322630.mp3,Black-throated Sparrow,7-20,"[""Callipepla gambelii_Gambel's Quail"", ""Melospiza lincolnii_Lincoln's Sparrow"", 'Spizella passerina_Chipping Sparrow', 'Campylorhynchus brunneicapillus_Cactus Wren']",31.906,44100 (Hz),call,1400 m,128000 (bps),Gambel's Quail (Callipepla gambelii); Lincoln's Sparrow (Melospiza lincolnii); Chipping Sparrow (Spizella passerina); Cactus Wren (Campylorhynchus brunneicapillus),United States,Amphispiza bilineata_Black-throated Sparrow,-109.1543,07:59
bktspa,2015-05-24,56,XC322633.mp3,Black-throated Sparrow,7-20,['Campylorhynchus brunneicapillus_Cactus Wren'],31.9437,44100 (Hz),song,1400 m,128000 (bps),Cactus Wren (Campylorhynchus brunneicapillus),United States,Amphispiza bilineata_Black-throated Sparrow,-109.1371,07:52
bktspa,2017-04-10,102,XC364709.mp3,Black-throated Sparrow,>20,['Toxostoma longirostre_Long-billed Thrasher'],25.7581,44100 (Hz),"song, wind",260 m,128000 (bps),Long-billed Thrasher (Toxostoma longirostre),Mexico,Amphispiza bilineata_Black-throated Sparrow,-98.7098,10:30
bktspa,2017-03-19,56,XC370064.mp3,Black-throated Sparrow,Not specified,[],33.8903,48000 (Hz),"male, song",700 m,96000 (bps),,United States,Amphispiza bilineata_Black-throated Sparrow,-113.1077,11:00
bktspa,2017-05-10,78,XC370949.mp3,Black-throated Sparrow,7-20,[],25.7581,44100 (Hz),song,260 m,128000 (bps),,Mexico,Amphispiza bilineata_Black-throated Sparrow,-98.7098,08:00
bktspa,2011-05-01,255,XC444623.mp3,Black-throated Sparrow,Not specified,[],35.7586,44100 (Hz),"call, song",1100 m,256000 (bps),,United States,Amphispiza bilineata_Black-throated Sparrow,-118.1013,08:15
bktspa,1999-04-24,71,XC469883.mp3,Black-throated Sparrow,Not specified,[],34.0014,44100 (Hz),song,480 m,192000 (bps),,United States,Amphispiza bilineata_Black-throated Sparrow,-116.5586,13:25
blkpho,2014-07-04,14,XC185245.mp3,Black Phoebe,1-3,[],33.8932,44100 (Hz),call,1100 m,256000 (bps),,United States,Sayornis nigricans_Black Phoebe,-111.4827,07:44
blkpho,2012-11-08,55,XC192018.mp3,Black Phoebe,Not specified,[],32.6809,48000 (Hz),call,240 m,128000 (bps),,United States,Sayornis nigricans_Black Phoebe,-116.8189,10:12
blkpho,2012-11-22,95,XC192052.mp3,Black Phoebe,Not specified,[],32.5458,48000 (Hz),song,10 m,128000 (bps),Audubon's Warbler (Setophaga auduboni),United States,Sayornis nigricans_Black Phoebe,-117.0737,09:13
blkpho,1997-03-00,5,XC260939.mp3,Black Phoebe,Not specified,[],-0.589,44100 (Hz),call,2000 m,128000 (bps),,Ecuador,Sayornis nigricans_Black Phoebe,-77.877,?
blkpho,2015-09-03,43,XC277557.mp3,Black Phoebe,Not specified,[],40.8702,48000 (Hz),"call, wingbeats",10 m,128000 (bps),,United States,Sayornis nigricans_Black Phoebe,-124.1157,06:26
blkpho,2016-05-23,7,XC318152.mp3,Black Phoebe,Not specified,[],32.7257,44100 (Hz),"male, song",40 m,96000 (bps),,United States,Sayornis nigricans_Black Phoebe,-114.6074,05:00
blkpho,2016-10-23,13,XC339896.mp3,Black Phoebe,4-6,[],32.5372,44100 (Hz),"call, male",140 m,128000 (bps),,Mexico,Sayornis nigricans_Black Phoebe,-116.9394,17:30
blkpho,2005-10-08,24,XC46690.mp3,Black Phoebe,Not specified,[],Not specified,44100 (Hz),Song,? m,128000 (bps),,Argentina,Sayornis nigricans_Black Phoebe,Not specified,pm
blkpho,2019-08-10,29,XC492146.mp3,Black Phoebe,1-3,[],33.818,48000 (Hz),call,2000 m,149694 (bps),,United States,Sayornis nigricans_Black Phoebe,-110.9316,13:11
blugrb1,2012-12-18,43,XC124268.mp3,Blue Grosbeak,>20,[],20.9768,44100 (Hz),alarm call,0 m,128000 (bps),,Mexico,Passerina caerulea_Blue Grosbeak,-97.3155,08:30
blugrb1,2013-05-10,26,XC133469.mp3,Blue Grosbeak,Not specified,['Thryophilus pleurostictus_Banded Wren'],13.857,44100 (Hz),"call, male",1000 m,192000 (bps),Banded Wren (Thryophilus pleurostictus),Honduras,Passerina caerulea_Blue Grosbeak,-87.235,08:00
blugrb1,2014-07-11,15,XC217046.mp3,Blue Grosbeak,7-20,"['Cyanocitta cristata_Blue Jay', 'Thryothorus ludovicianus_Carolina Wren', 'Corvus brachyrhynchos_American Crow', 'Cardinalis cardinalis_Northern Cardinal', 'Butorides virescens_Green Heron', 'Mimus polyglottos_Northern Mockingbird']",32.1151,44100 (Hz),song,70 m,320000 (bps),Blue Jay (Cyanocitta cristata); Carolina Wren (Thryothorus ludovicianus); American Crow (Corvus brachyrhynchos); Northern Cardinal (Cardinalis cardinalis); Green Heron (Butorides virescens); Northern Mockingbird (Mimus polyglottos),United States,Passerina caerulea_Blue Grosbeak,-92.9765,07:03
blugrb1,2015-05-26,36,XC246200.mp3,Blue Grosbeak,Not specified,"['Zenaida asiatica_White-winged Dove', 'Icteria virens_Yellow-breasted Chat', ""Leiothlypis luciae_Lucy's Warbler""]",34.7489,44100 (Hz),song,140 m,128092 (bps),White-winged Dove (Zenaida asiatica); Yellow-breasted Chat (Icteria virens); Lucy's Warbler (Leiothlypis luciae),United States,Passerina caerulea_Blue Grosbeak,-114.5043,06:30
blugrb1,2015-05-31,102,XC253397.mp3,Blue Grosbeak,Not specified,"['Xanthocephalus xanthocephalus_Yellow-headed Blackbird', 'Tyrannus tyrannus_Eastern Kingbird', 'Charadrius vociferus_Killdeer']",40.0457,44100 (Hz),song,1500 m,128000 (bps),Yellow-headed Blackbird (Xanthocephalus xanthocephalus); Eastern Kingbird (Tyrannus tyrannus); Killdeer (Charadrius vociferus),United States,Passerina caerulea_Blue Grosbeak,-105.1446,07:28
blugrb1,2015-08-08,106,XC267288.mp3,Blue Grosbeak,Not specified,"['Zenaida macroura_Mourning Dove', 'Contopus virens_Eastern Wood-Pewee', 'Sialia sialis_Eastern Bluebird']",32.7862,48000 (Hz),"call, song",10 m,128000 (bps),Mourning Dove (Zenaida macroura); Eastern Wood Pewee (Contopus virens); Eastern Bluebird (Sialia sialis),United States,Passerina caerulea_Blue Grosbeak,-80.2628,08:00
blugrb1,2015-08-19,6,XC269493.mp3,Blue Grosbeak,Not specified,[],38.0695,44100 (Hz),"alarm call, begging call",300 m,192000 (bps),,United States,Passerina caerulea_Blue Grosbeak,-84.3933,11:00
blugrb1,2018-06-05,38,XC418834.mp3,Blue Grosbeak,7-20,['Cardinalis cardinalis_Northern Cardinal'],27.9901,48000 (Hz),"male, song",30 m,128000 (bps),Northern Cardinal (Cardinalis cardinalis),United States,Passerina caerulea_Blue Grosbeak,-81.8658,09:45
blugrb1,2019-06-27,55,XC483735.mp3,Blue Grosbeak,Not specified,[],32.5458,48000 (Hz),"male, song",10 m,128000 (bps),,United States,Passerina caerulea_Blue Grosbeak,-117.0737,07:16
blujay,2012-05-19,84,XC109162.mp3,Blue Jay,Not specified,[],26.028,48000 (Hz),call,5 m,192000 (bps),,United States,Cyanocitta cristata_Blue Jay,-80.413,15:30
blujay,1996-04-27,25,XC134994.mp3,Blue Jay,Not specified,[],29.7833,44100 (Hz),call,0 m,128000 (bps),,United States,Cyanocitta cristata_Blue Jay,-93.2517,?
blujay,2013-02-17,21,XC138073.mp3,Blue Jay,Not specified,[],40.1226,44100 (Hz),Cooper's Hawk imitation,50 m,128000 (bps),,United States,Cyanocitta cristata_Blue Jay,-75.0635,08:00
blujay,2016-06-12,9,XC321551.mp3,Blue Jay,Not specified,['Turdus migratorius_American Robin'],40.5689,44100 (Hz),"begging call, juvenile",1600 m,192000 (bps),American Robin (Turdus migratorius),United States,Cyanocitta cristata_Blue Jay,-105.1278,19:00
blujay,2016-06-13,6,XC321552.mp3,Blue Jay,Not specified,[],40.5689,44100 (Hz),"begging call, juvenile",1600 m,192000 (bps),,United States,Cyanocitta cristata_Blue Jay,-105.1278,08:00
blujay,2016-04-09,44,XC325696.mp3,Blue Jay,Not specified,[],40.8708,44100 (Hz),call,10 m,192000 (bps),,United States,Cyanocitta cristata_Blue Jay,-73.5398,09:00
blujay,2016-03-22,4,XC346022.mp3,Blue Jay,Not specified,[],Not specified,44100 (Hz),song,289 m,128392 (bps),,United States,Cyanocitta cristata_Blue Jay,Not specified,10:30
blujay,2016-11-12,13,XC351864.mp3,Blue Jay,Not specified,['Zonotrichia albicollis_White-throated Sparrow'],39.8809,44100 (Hz),"Red-tailed Hawk impression, call",150 m,256491 (bps),White-throated Sparrow (Zonotrichia albicollis),United States,Cyanocitta cristata_Blue Jay,-76.6865,15:25
blujay,2017-07-15,235,XC382356.mp3,Blue Jay,Not specified,"['Zenaida asiatica_White-winged Dove', 'Turdus migratorius_American Robin']",29.6884,44100 (Hz),song,10 m,320000 (bps),White-winged Dove (Zenaida asiatica); American Robin (Turdus migratorius),United States,Cyanocitta cristata_Blue Jay,-95.4228,06:52
bnhcow,2013-06-04,55,XC139916.mp3,Brown-headed Cowbird,Not specified,[],41.313,48000 (Hz),"call, female, male, song",2200 m,128000 (bps),,United States,Molothrus ater_Brown-headed Cowbird,-105.5787,11:00
bnhcow,2013-06-13,20,XC146086.mp3,Brown-headed Cowbird,1-3,['Contopus sordidulus_Western Wood-Pewee'],39.6294,48000 (Hz),call,1600 m,320000 (bps),Western Wood Pewee (Contopus sordidulus),United States,Molothrus ater_Brown-headed Cowbird,-120.2859,08:31
bnhcow,2012-03-14,217,XC160984.mp3,Brown-headed Cowbird,Not specified,"['Auriparus flaviceps_Verdin', 'Melospiza melodia_Song Sparrow', 'Larus delawarensis_Ring-billed Gull', 'Geothlypis trichas_Common Yellowthroat', 'Hydroprogne caspia_Caspian Tern']",33.0624,48000 (Hz),"call, female, male",-50 m,128000 (bps),Verdin (Auriparus flaviceps); Song Sparrow (Melospiza melodia); Ring-billed Gull (Larus delawarensis); Common Yellowthroat (Geothlypis trichas); Caspian Tern (Hydroprogne caspia),United States,Molothrus ater_Brown-headed Cowbird,-115.4991,07:11
bnhcow,2014-05-15,36,XC184645.mp3,Brown-headed Cowbird,Not specified,[],40.125,44100 (Hz),"call, female",50 m,128000 (bps),,United States,Molothrus ater_Brown-headed Cowbird,-75.0701,06:30
bnhcow,2014-05-22,70,XC185161.mp3,Brown-headed Cowbird,Not specified,[],51.6369,48000 (Hz),song,550 m,128000 (bps),,Canada,Molothrus ater_Brown-headed Cowbird,-103.54,13:15
bnhcow,2018-07-29,38,XC440561.mp3,Brown-headed Cowbird,1-3,"['Tyrannus crassirostris_Thick-billed Kingbird', 'Pachyramphus aglaiae_Rose-throated Becard', 'Trogon elegans_Elegant Trogon', 'Leptotila verreauxi_White-tipped Dove', 'Columbina passerina_Common Ground Dove', 'Zenaida asiatica_White-winged Dove', 'Icteria virens_Yellow-breasted Chat', 'Buteo plagiatus_Gray Hawk']",28.426,44100 (Hz),"call, song",800 m,128000 (bps),Thick-billed Kingbird (Tyrannus crassirostris); Rose-throated Becard (Pachyramphus aglaiae); Elegant Trogon (Trogon elegans); White-tipped Dove (Leptotila verreauxi); Common Ground Dove (Columbina passerina); White-winged Dove (Zenaida asiatica); Yellow-breasted Chat (Icteria virens); Grey Hawk (Buteo plagiatus),Mexico,Molothrus ater_Brown-headed Cowbird,-109.116,07:25
bnhcow,2018-07-25,38,XC440562.mp3,Brown-headed Cowbird,1-3,"['Leptotila verreauxi_White-tipped Dove', 'Melanerpes uropygialis_Gila Woodpecker']",27.0154,44100 (Hz),call,600 m,128000 (bps),White-tipped Dove (Leptotila verreauxi); Gila Woodpecker (Melanerpes uropygialis),Mexico,Molothrus ater_Brown-headed Cowbird,-108.9493,07:08
bnhcow,2010-08-04,110,XC59941.mp3,Brown-headed Cowbird,1-3,[],35.8589,44100 (Hz),begging call,100 m,128000 (bps),,United States,Molothrus ater_Brown-headed Cowbird,-84.0948,8:30am
bnhcow,2011-06-18,5,XC81290.mp3,Brown-headed Cowbird,1-3,[],44.793,44100 (Hz),call,220 m,190126 (bps),,United States,Molothrus ater_Brown-headed Cowbird,-92.962,05:52
boboli,2014-05-24,160,XC179962.mp3,Bobolink,Not specified,"['Corvus brachyrhynchos_American Crow', 'Melospiza melodia_Song Sparrow', 'Spinus tristis_American Goldfinch', 'Geothlypis trichas_Common Yellowthroat', 'Seiurus aurocapilla_Ovenbird', 'Agelaius phoeniceus_Red-winged Blackbird']",45.0374,44100 (Hz),"flight call, male, song",150 m,128000 (bps),American Crow (Corvus brachyrhynchos); Song Sparrow (Melospiza melodia); American Goldfinch (Spinus tristis); Common Yellowthroat (Geothlypis trichas); Ovenbird (Seiurus aurocapilla); Red-winged Blackbird (Agelaius phoeniceus),Canada,Dolichonyx oryzivorus_Bobolink,-72.6616,10:25
boboli,2014-06-06,296,XC185518.mp3,Bobolink,>20,"['Passerculus sandwichensis_Savannah Sparrow', 'Agelaius phoeniceus_Red-winged Blackbird', 'Sturnella neglecta_Western Meadowlark', 'Turdus migratorius_American Robin', 'Phasianus colchicus_Ring-necked Pheasant']",48.4183,44100 (Hz),song,600 m,128000 (bps),Savannah Sparrow (Passerculus sandwichensis); Red-winged Blackbird (Agelaius phoeniceus); Western Meadowlark (Sturnella neglecta); American Robin (Turdus migratorius); Common Pheasant (Phasianus colchicus),United States,Dolichonyx oryzivorus_Bobolink,-107.6657,05:24
boboli,2015-06-28,6,XC254449.mp3,Bobolink,Not specified,['Sturnella magna_Eastern Meadowlark'],44.3138,44100 (Hz),"call, song",280 m,128000 (bps),Eastern Meadowlark (Sturnella magna),Canada,Dolichonyx oryzivorus_Bobolink,-78.4355,18:00
boboli,2015-09-10,9,XC278928.mp3,Bobolink,Not specified,[],28.4077,48000 (Hz),flight call,0 m,128000 (bps),,United States,Dolichonyx oryzivorus_Bobolink,-80.5912,06:30
boboli,2011-05-29,43,XC296883.mp3,Bobolink,Not specified,[],47.7007,48000 (Hz),song,320 m,128000 (bps),,United States,Dolichonyx oryzivorus_Bobolink,-96.3497,13:21
boboli,2012-05-18,75,XC296892.mp3,Bobolink,Not specified,['Agelaius phoeniceus_Red-winged Blackbird'],43.3388,48000 (Hz),"call, flight call, male, song",10 m,128000 (bps),Red-winged Blackbird (Agelaius phoeniceus),United States,Dolichonyx oryzivorus_Bobolink,-70.5506,08:35
boboli,2017-06-01,5,XC381414.mp3,Bobolink,>20,[],40.4797,44100 (Hz),song,2000 m,320000 (bps),,United States,Dolichonyx oryzivorus_Bobolink,-107.1399,17:04
boboli,0000-00-00,50,XC48029.mp3,Bobolink,Not specified,[],-30.583027,44100 (Hz),Song,? m,128000 (bps),,Argentina,Dolichonyx oryzivorus_Bobolink,-59.948959,?
boboli,2006-03-15,90,XC50594.mp3,Bobolink,Not specified,[],-30.583027,44100 (Hz),song,? m,128000 (bps),,Argentina,Dolichonyx oryzivorus_Bobolink,-59.948959,?:?
bongul,2013-04-19,4,XC163060.mp3,Bonaparte's Gull,Not specified,[],33.1612,48000 (Hz),flight call,-70 m,128000 (bps),,United States,Chroicocephalus philadelphia_Bonaparte's Gull,-115.6414,06:30
bongul,2014-02-01,8,XC166083.mp3,Bonaparte's Gull,Not specified,[],28.2267,48000 (Hz),flight call,10 m,128000 (bps),,United States,Chroicocephalus philadelphia_Bonaparte's Gull,-80.7645,08:14
bongul,2014-05-28,127,XC180077.mp3,Bonaparte's Gull,Not specified,[],51.9215,48000 (Hz),call,500 m,128000 (bps),,Canada,Chroicocephalus philadelphia_Bonaparte's Gull,-104.2376,11:00
bongul,2014-05-02,31,XC193659.mp3,Bonaparte's Gull,Not specified,[],61.124,44100 (Hz),call,40 m,160000 (bps),,United States,Chroicocephalus philadelphia_Bonaparte's Gull,-151.1033,09:24
bongul,2015-05-16,18,XC292860.mp3,Bonaparte's Gull,Not specified,[],48.2673,44100 (Hz),flight call,0 m,128000 (bps),,Canada,Chroicocephalus philadelphia_Bonaparte's Gull,-69.4947,10:26
bongul,2016-01-07,66,XC299017.mp3,Bonaparte's Gull,Not specified,"['Larus delawarensis_Ring-billed Gull', 'Rynchops niger_Black Skimmer', 'Calidris alpina_Dunlin', 'Egretta tricolor_Tricolored Heron', 'Spatula discors_Blue-winged Teal']",28.6781,48000 (Hz),flight call,0 m,128000 (bps),Ring-billed Gull (Larus delawarensis); Black Skimmer (Rynchops niger); Dunlin (Calidris alpina); Tricolored Heron (Egretta tricolor); Blue-winged Teal (Spatula discors),United States,Chroicocephalus philadelphia_Bonaparte's Gull,-80.7717,07:49
bongul,2016-06-29,10,XC325321.mp3,Bonaparte's Gull,Not specified,['Chroicocephalus ridibundus_Black-headed Gull'],69.3814,44100 (Hz),"call, flight call",150 m,128000 (bps),Black-headed Gull (Chroicocephalus ridibundus),Norway,Chroicocephalus philadelphia_Bonaparte's Gull,20.2599,07:00
bongul,2016-07-02,14,XC325511.mp3,Bonaparte's Gull,Not specified,[],43.7655,44100 (Hz),call,180 m,128000 (bps),,United States,Chroicocephalus philadelphia_Bonaparte's Gull,-87.6956,13:00
bongul,2018-07-05,74,XC494405.mp3,Bonaparte's Gull,Not specified,[],43.3339,44100 (Hz),call,0 m,128045 (bps),,United States,Chroicocephalus philadelphia_Bonaparte's Gull,-70.5423,08:00
brdowl,2014-05-24,215,XC197263.mp3,Barred Owl,Not specified,[],25.3864,44100 (Hz),"begging call, juvenile",0 m,128000 (bps),,United States,Strix varia_Barred Owl,-80.6203,20:55
brdowl,2015-03-06,39,XC215846.mp3,Barred Owl,Not specified,[],45.6051,48000 (Hz),A duet performing a sort of territorial song/call. Not the typical WHO COOKS FOR,1700 m,192000 (bps),,United States,Strix varia_Barred Owl,-110.9189,21:00
brdowl,2015-04-05,84,XC234524.mp3,Barred Owl,Not specified,"['Poecile carolinensis_Carolina Chickadee', 'Thryothorus ludovicianus_Carolina Wren', 'Polioptila caerulea_Blue-gray Gnatcatcher', 'Baeolophus bicolor_Tufted Titmouse', 'Cardinalis cardinalis_Northern Cardinal', 'Vireo griseus_White-eyed Vireo', 'Regulus calendula_Ruby-crowned Kinglet', 'Zonotrichia albicollis_White-throated Sparrow']",32.6724,44100 (Hz),"call, duet.",60 m,320000 (bps),Carolina Chickadee (Poecile carolinensis); Carolina Wren (Thryothorus ludovicianus); Blue-grey Gnatcatcher (Polioptila caerulea); Tufted Titmouse (Baeolophus bicolor); Northern Cardinal (Cardinalis cardinalis); White-eyed Vireo (Vireo griseus); Ruby-crowned Kinglet (Regulus calendula); White-throated Sparrow (Zonotrichia albicollis),United States,Strix varia_Barred Owl,-93.9534,07:02
brdowl,2016-03-24,14,XC308404.mp3,Barred Owl,1-3,[],36.1728,44100 (Hz),begging call,300 m,128000 (bps),,United States,Strix varia_Barred Owl,-84.008,05:00
brdowl,2016-04-03,35,XC310199.mp3,Barred Owl,Not specified,[],38.0915,44100 (Hz),call,150 m,128000 (bps),,United States,Strix varia_Barred Owl,-78.4939,08:30
brdowl,2018-05-02,220,XC413556.mp3,Barred Owl,Not specified,"['Antigone canadensis_Sandhill Crane', 'Setophaga americana_Northern Parula', 'Zenaida macroura_Mourning Dove', 'Cardinalis cardinalis_Northern Cardinal', 'Baeolophus bicolor_Tufted Titmouse', 'Corvus ossifragus_Fish Crow']",28.7664,48000 (Hz),"begging call, juvenile",0 m,128000 (bps),Sandhill Crane (Antigone canadensis); Northern Parula (Setophaga americana); Mourning Dove (Zenaida macroura); Northern Cardinal (Cardinalis cardinalis); Tufted Titmouse (Baeolophus bicolor); Fish Crow (Corvus ossifragus),United States,Strix varia_Barred Owl,-80.8623,06:29
brdowl,2018-07-14,25,XC425120.mp3,Barred Owl,Not specified,[],41.5683,48000 (Hz),"female, male, pair duet",400 m,192000 (bps),,United States,Strix varia_Barred Owl,-95.0895,05:00
brdowl,2018-11-01,62,XC447012.mp3,Barred Owl,7-20,[],34.766,44100 (Hz),"alarm call, call, caterwaul, duet, female, male, song",750 m,192079 (bps),,United States,Strix varia_Barred Owl,-84.1435,20:30
brdowl,2018-05-31,85,XC451864.mp3,Barred Owl,Not specified,['Quiscalus major_Boat-tailed Grackle'],28.229,48000 (Hz),call,0 m,128000 (bps),Boat-tailed Grackle (Quiscalus major),United States,Strix varia_Barred Owl,-80.813,07:54
brebla,2012-11-22,77,XC167903.mp3,Brewer's Blackbird,Not specified,[],32.5458,48000 (Hz),"call, song",10 m,128000 (bps),,United States,Euphagus cyanocephalus_Brewer's Blackbird,-117.084,08:59
brebla,2012-02-16,120,XC167904.mp3,Brewer's Blackbird,Not specified,[],32.6185,48000 (Hz),"call, song",0 m,128000 (bps),,United States,Euphagus cyanocephalus_Brewer's Blackbird,-117.1029,15:05
brebla,2014-06-08,38,XC186652.mp3,Brewer's Blackbird,1-3,"['Hirundo rustica_Barn Swallow', 'Tyrannus verticalis_Western Kingbird', 'Sturnella neglecta_Western Meadowlark']",49.0715,44100 (Hz),call,850 m,128000 (bps),Barn Swallow (Hirundo rustica); Western Kingbird (Tyrannus verticalis); Western Meadowlark (Sturnella neglecta),Canada,Euphagus cyanocephalus_Brewer's Blackbird,-106.5309,06:47
brebla,2016-04-15,79,XC313065.mp3,Brewer's Blackbird,Not specified,"['Sturnella neglecta_Western Meadowlark', 'Eremophila alpestris_Horned Lark']",40.1725,44100 (Hz),"call, female, male, song",1100 m,123501 (bps),Western Meadowlark (Sturnella neglecta); Horned Lark (Eremophila alpestris),United States,Euphagus cyanocephalus_Brewer's Blackbird,-102.2459,08:02
brebla,2017-01-06,11,XC350052.mp3,Brewer's Blackbird,7-20,[],19.742,44100 (Hz),call,1500 m,128000 (bps),,Mexico,Euphagus cyanocephalus_Brewer's Blackbird,-103.4742,18:00
brebla,2017-03-11,36,XC358844.mp3,Brewer's Blackbird,Not specified,['Corvus corax_Common Raven'],38.2087,48000 (Hz),song,0 m,128042 (bps),Northern Raven (Corvus corax),United States,Euphagus cyanocephalus_Brewer's Blackbird,-122.0327,08:00
brebla,2017-09-14,43,XC390183.mp3,Brewer's Blackbird,Not specified,[],35.6513,44100 (Hz),call,800 m,176528 (bps),,United States,Euphagus cyanocephalus_Brewer's Blackbird,-118.4844,18:00
brebla,2018-04-17,64,XC416140.mp3,Brewer's Blackbird,Not specified,[],36.4387,48000 (Hz),"call, male",900 m,192000 (bps),,United States,Euphagus cyanocephalus_Brewer's Blackbird,-115.359,06:30
